ID,Adoption,Died,Euthanasia,Return_to_owner,Transfer
A691864,0.38005632162094116,0.0003918871225323528,0.03541000187397003,0.4626290798187256,0.12151265144348145
A702504,0.08167904615402222,0.007710844278335571,0.05950307473540306,0.0027595979627221823,0.8483474254608154
A710517,0.7660101056098938,0.0012990930117666721,0.004092940595000982,0.006728284526616335,0.2218695729970932
A720371,0.16043047606945038,0.015760038048028946,0.027954719960689545,0.024504240602254868,0.7713505029678345
A680053,0.26383107900619507,0.0017035737400874496,0.10553055256605148,0.4215979278087616,0.207336887717247
A678245,0.37433189153671265,0.0033832904882729053,0.05369781330227852,0.29752999544143677,0.2710569500923157
A702174,0.7844316959381104,0.004686463624238968,0.013740262016654015,0.015970513224601746,0.18117102980613708
A683022,0.2058696299791336,0.0003573303110897541,0.1345357447862625,0.516533613204956,0.14270368218421936
A690109,0.32996657490730286,0.0010056839091703296,0.048961251974105835,0.4272615909576416,0.19280488789081573
A707310,0.4984363615512848,0.0008935797959566116,0.01657944545149803,0.2086075097322464,0.275483101606369
A709667,0.012494065798819065,0.01971905678510666,0.04987563192844391,0.016158897429704666,0.9017523527145386
A695213,0.5727195143699646,0.0005896574584767222,0.01226527988910675,0.3027171492576599,0.11170848459005356
A679767,0.4240986406803131,0.00038968719309195876,0.012215917930006981,0.11108876019716263,0.4522069990634918
A693315,0.8066223859786987,2.0715298887807876e-05,0.0008833446190692484,0.05774356424808502,0.13473008573055267
A674944,0.32780879735946655,0.0025787819176912308,0.08594442158937454,0.22357000410556793,0.36009806394577026
A689674,0.6788048148155212,8.834938489599153e-05,0.005205663852393627,0.20905005931854248,0.10685113817453384
A663386,0.21189343929290771,0.003506530774757266,0.10517146438360214,0.42542678117752075,0.2540017366409302
A711339,0.3193281888961792,0.0018197227036580443,0.05414299666881561,0.4105592370033264,0.2141498476266861
A671526,0.28332021832466125,0.00022820748563390225,0.05478683114051819,0.5671477913856506,0.09451700001955032
A620222,0.49825209379196167,0.0006759900716133416,0.025172093883156776,0.3131234645843506,0.16277636587619781
A700046,9.190003765979782e-06,0.00839971099048853,0.030290458351373672,0.0006360074621625245,0.9606646299362183
A683408,0.010298710316419601,0.0014963099965825677,0.08885475993156433,0.018512777984142303,0.8808374404907227
A680516,0.11610894650220871,0.07096898555755615,0.1531282216310501,0.004073156043887138,0.6557207703590393
A710897,0.9422212243080139,0.00016811843670438975,0.001294416026212275,0.005997919011861086,0.05031822249293327
A711724,0.0007328587817028165,0.018562976270914078,0.0013660525437444448,2.0161776774330065e-05,0.9793179035186768
A676859,0.4878910779953003,0.003461928106844425,0.035066258162260056,0.2410835325717926,0.2324972152709961
A708327,0.9529420733451843,3.5627352190203965e-05,0.00044416109449230134,0.010159272700548172,0.03641875833272934
A717916,0.45294028520584106,0.0009448871132917702,0.03339904919266701,0.31817662715911865,0.19453904032707214
A711169,0.01172415167093277,0.006733296439051628,0.321223646402359,0.19132649898529053,0.4689923822879791
A681720,0.718651533126831,0.00024821498664096,0.006282016634941101,0.20397990942001343,0.07083841413259506
A685447,0.3875492513179779,0.000983704812824726,0.05356042459607124,0.39973193407058716,0.15817467868328094
A408035,0.19033274054527283,0.0005171095835976303,0.12485053390264511,0.5614395141601562,0.12286008894443512
A677994,0.30231645703315735,0.0009455077815800905,0.022276993840932846,0.09020715951919556,0.5842538475990295
A663986,0.040628619492053986,0.048969969153404236,0.18789257109165192,0.003063133917748928,0.7194457650184631
A683712,0.453151673078537,0.010238483548164368,0.01948765479028225,0.34897473454475403,0.16814741492271423
A648065,0.37450549006462097,0.005369823891669512,0.06674417853355408,0.3812530040740967,0.1721273958683014
A703494,0.04108761250972748,0.11585383862257004,0.17335598170757294,0.0034717251546680927,0.6662309169769287
A691862,0.39276254177093506,0.00042059458792209625,0.024326402693986893,0.39470890164375305,0.1877816617488861
A684531,0.028388667851686478,0.008192376233637333,0.1797683984041214,0.13845548033714294,0.6451951265335083
A700776,0.0014814537717029452,0.020784741267561913,0.15332894027233124,0.0034222358372062445,0.8209826946258545
A708720,0.9608577489852905,0.00013049655535724014,0.001372564467601478,0.006995807401835918,0.030643437057733536
A680286,0.38278719782829285,0.00053514534374699,0.03199915215373039,0.49314084649086,0.09153769165277481
A675977,0.38807716965675354,0.001733188284561038,0.043229538947343826,0.4015122354030609,0.16544793546199799
A682579,0.018194641917943954,0.003973280545324087,0.048015493899583817,0.026507077738642693,0.9033094644546509
A695946,0.6083354949951172,0.0021357617806643248,0.02094055525958538,0.254805326461792,0.11378279328346252
A689110,0.13723592460155487,0.00448942556977272,0.08096896857023239,0.07741379737854004,0.6998918652534485
A672237,0.8318624496459961,0.00026922309189103544,0.001999024534597993,0.04049753025174141,0.12537184357643127
A545780,0.25824907422065735,0.0009171590209007263,0.05328107252717018,0.20825794339179993,0.47929468750953674
A705583,0.16222138702869415,0.013238653540611267,0.11497104912996292,0.008382954634726048,0.7011860013008118
A709825,0.05336366966366768,0.004846583586186171,0.23282891511917114,0.48313987255096436,0.2258208990097046
A720427,0.8747346997261047,0.00015276213525794446,0.0021044646855443716,0.03510100021958351,0.08790701627731323
A613821,0.20198383927345276,0.008918155916035175,0.15375296771526337,0.36222130060195923,0.27312377095222473
A716970,0.7211275100708008,5.785311077488586e-05,0.004550670739263296,0.15274253487586975,0.12152142077684402
A674469,0.032247431576251984,0.006791763473302126,0.1616915762424469,0.5138719081878662,0.28539735078811646
A668246,0.039544712752103806,0.002943268045783043,0.1683676838874817,0.46152275800704956,0.32762154936790466
